['2009.07.1707:30', 1.41178, 1.41223, 1.41152, 1.41208, 481.0, 1],
['2009.07.1707:15', 1.4118, 1.41255, 1.41167, 1.41176, 609.0, 1],
['2009.07.1707:00', 1.41171, 1.41184, 1.4111, 1.4118, 605.0, 1],
['2009.07.1706:45', 1.41183, 1.41234, 1.41163, 1.41172, 544.0, 1],
['2009.07.1706:30', 1.41123, 1.41211, 1.41104, 1.41183, 512.0, 1],
['2009.07.1706:15', 1.41073, 1.41156, 1.41058, 1.41128, 434.0, 1],
['2009.07.1706:00', 1.41148, 1.41187, 1.41059, 1.41074, 634.0, 1],
['2009.07.1705:45', 1.412, 1.41208, 1.41095, 1.41154, 857.0, 1],
['2009.07.1705:30', 1.41194, 1.41264, 1.41175, 1.41204, 742.0, 1],
['2009.07.1705:15', 1.41137, 1.41204, 1.41115, 1.41193, 450.0, 1],
['2009.07.1705:00', 1.41074, 1.41173, 1.41059, 1.41138, 581.0, 1],
['2009.07.1704:45', 1.41031, 1.41119, 1.41031, 1.41076, 639.0, 1],
['2009.07.1704:30', 1.41096, 1.41105, 1.41009, 1.41034, 508.0, 1],
['2009.07.1704:15', 1.41029, 1.41101, 1.40986, 1.41095, 635.0, 1],
['2009.07.1704:00', 1.41028, 1.41058, 1.40986, 1.41029, 711.0, 1],
['2009.07.1703:45', 1.4098, 1.41068, 1.40972, 1.41023, 589.0, 1],
['2009.07.1703:30', 1.41144, 1.41144, 1.40939, 1.40977, 901.0, 0.2],
['2009.07.1703:15', 1.41145, 1.41189, 1.41127, 1.41146, 539.0, 0.2],
['2009.07.1703:00', 1.41185, 1.41185, 1.4112, 1.41144, 550.0, 0.2],
['2009.07.1702:45', 1.4131, 1.4131, 1.41139, 1.41187, 584.0, 0.2],
['2009.07.1702:30', 1.41316, 1.41336, 1.41247, 1.41308, 546.0, 1],
['2009.07.1702:15', 1.41358, 1.41358, 1.41299, 1.41315, 462.0, 1],
['2009.07.1702:00', 1.4131, 1.4139, 1.41278, 1.41359, 376.0, 1],
['2009.07.1701:45', 1.41332, 1.41332, 1.41268, 1.41312, 263.0, 1],
['2009.07.1701:30', 1.41376, 1.41376, 1.41281, 1.41331, 280.0, 1],
['2009.07.1701:15', 1.41406, 1.41413, 1.41372, 1.41374, 194.0, 1],
['2009.07.1701:00', 1.41392, 1.41416, 1.41337, 1.41408, 318.0, 1],
['2009.07.1700:45', 1.41346, 1.41429, 1.41345, 1.41397, 273.0, 1],
['2009.07.1700:30', 1.4138, 1.41393, 1.41325, 1.41345, 211.0, 1],
['2009.07.1700:15', 1.41305, 1.41407, 1.41299, 1.41387, 236.0, 1],
['2009.07.1700:00', 1.41397, 1.41448, 1.41299, 1.41305, 442.0, 1],
['2009.07.1623:45', 1.41441, 1.41443, 1.41392, 1.41392, 124.0, 1],
['2009.07.1623:30', 1.41425, 1.41458, 1.4138, 1.41442, 219.0, 1],
['2009.07.1623:15', 1.41475, 1.41483, 1.4139, 1.41423, 201.0, 1],
['2009.07.1623:00', 1.41474, 1.41503, 1.41445, 1.41471, 138.0, 1],
['2009.07.1622:45', 1.41526, 1.41531, 1.41476, 1.41477, 230.0, 1],
['2009.07.1622:30', 1.41589, 1.41606, 1.41504, 1.41529, 439.0, 1],
['2009.07.1622:15', 1.41425, 1.41593, 1.41424, 1.41593, 445.0, 0.2],
['2009.07.1622:00', 1.41414, 1.4145, 1.41361, 1.41426, 517.0, 0.2],
['2009.07.1621:45', 1.41495, 1.41504, 1.41382, 1.41413, 661.0, 0.2],
['2009.07.1621:30', 1.41351, 1.41499, 1.41342, 1.41493, 721.0, 0.2],
['2009.07.1621:15', 1.4141, 1.41422, 1.41322, 1.41351, 585.0, 0.2],
['2009.07.1621:00', 1.41463, 1.41468, 1.41364, 1.41412, 480.0, 0.2],
['2009.07.1620:45', 1.41435, 1.41497, 1.41415, 1.41464, 809.0, 0.2],
['2009.07.1620:30', 1.41464, 1.4149, 1.414, 1.41434, 789.0, 0.2],
['2009.07.1620:15', 1.41375, 1.41481, 1.41349, 1.41467, 867.0, 0.2],
['2009.07.1620:00', 1.4123, 1.41375, 1.41205, 1.41375, 895.0, 0.2],
['2009.07.1619:45', 1.41158, 1.4124, 1.41135, 1.41229, 870.0, 1],
['2009.07.1619:30', 1.41096, 1.41173, 1.41069, 1.41153, 697.0, 1],
['2009.07.1619:15', 1.41101, 1.41119, 1.41069, 1.41093, 564.0, 1],
['2009.07.1619:00', 1.41159, 1.41208, 1.41073, 1.41103, 668.0, 1],
['2009.07.1618:45', 1.41217, 1.41264, 1.4115, 1.41161, 637.0, 1],
['2009.07.1618:30', 1.41186, 1.41258, 1.4116, 1.41214, 877.0, 1],
['2009.07.1618:15', 1.41144, 1.41195, 1.41091, 1.41189, 771.0, 1],
['2009.07.1618:00', 1.41142, 1.4119, 1.4113, 1.41144, 856.0, 1],
['2009.07.1617:45', 1.41049, 1.4116, 1.41037, 1.41141, 1096.0, 1],
['2009.07.1617:30', 1.41096, 1.41136, 1.41014, 1.41052, 1091.0, 1],
['2009.07.1617:15', 1.41175, 1.41183, 1.41068, 1.41093, 1180.0, 0.2],
['2009.07.1617:00', 1.41126, 1.41278, 1.41113, 1.41176, 1410.0, 0.2],
['2009.07.1616:45', 1.41093, 1.41194, 1.4108, 1.4113, 1463.0, 0.2],
['2009.07.1616:30', 1.41161, 1.41196, 1.41082, 1.41094, 1289.0, 0.2],
['2009.07.1616:15', 1.41049, 1.41169, 1.41014, 1.41141, 1553.0, 0.2],
['2009.07.1616:00', 1.41321, 1.41321, 1.40956, 1.41048, 1642.0, 0.2],
['2009.07.1615:45', 1.41259, 1.4136, 1.41222, 1.41301, 1409.0, 0.2],
['2009.07.1615:30', 1.41215, 1.41312, 1.4116, 1.41256, 1898.0, 0.2],
['2009.07.1615:15', 1.41335, 1.4136, 1.4115, 1.41213, 1643.0, 0.2],
['2009.07.1615:00', 1.41371, 1.41521, 1.41285, 1.41332, 1336.0, 0.2],
['2009.07.1614:45', 1.41341, 1.41406, 1.41271, 1.41358, 854.0, 0.2],
['2009.07.1614:30', 1.41404, 1.41652, 1.41319, 1.41344, 1072.0, 0.2],
['2009.07.1614:15', 1.41298, 1.41446, 1.41256, 1.41407, 1142.0, 0.2],
['2009.07.1614:00', 1.41265, 1.41366, 1.41265, 1.41303, 1177.0, 0.2],
['2009.07.1613:45', 1.41331, 1.4135, 1.41262, 1.41263, 1354.0, 0.2],
['2009.07.1613:30', 1.4139, 1.41509, 1.41306, 1.4133, 1824.0, 0.2],
['2009.07.1613:15', 1.41119, 1.41416, 1.4107, 1.41389, 1472.0, 0.2],
['2009.07.1613:00', 1.41174, 1.41174, 1.41, 1.4112, 1578.0, 0.2],
['2009.07.1612:45', 1.41174, 1.4127, 1.41048, 1.41174, 1649.0, 0.2],
['2009.07.1612:30', 1.4097, 1.41366, 1.40968, 1.41177, 2584.0, 0.2],
['2009.07.1612:15', 1.40814, 1.41057, 1.40782, 1.40968, 1160.0, 0.2],
['2009.07.1612:00', 1.40841, 1.40841, 1.4071, 1.40811, 969.0, 0.2],
['2009.07.1611:45', 1.40832, 1.40869, 1.40801, 1.40839, 920.0, 0.2],
['2009.07.1611:30', 1.40758, 1.40836, 1.40753, 1.40833, 823.0, 0.2],
['2009.07.1611:15', 1.40848, 1.4085, 1.40716, 1.40757, 991.0, 0.2],
['2009.07.1611:00', 1.40798, 1.40858, 1.40733, 1.40847, 1117.0, 0.2],
['2009.07.1610:45', 1.4083, 1.40869, 1.4076, 1.40803, 1078.0, 0.2],
['2009.07.1610:30', 1.40728, 1.40826, 1.4071, 1.40826, 1166.0, 0.2],
['2009.07.1610:15', 1.40779, 1.40835, 1.40704, 1.4073, 1207.0, 0.2],
['2009.07.1610:00', 1.40908, 1.40935, 1.40745, 1.40777, 1378.0, 0.2],
['2009.07.1609:45', 1.40903, 1.41038, 1.40873, 1.40913, 1443.0, 0.2],
['2009.07.1609:30', 1.40904, 1.40993, 1.40862, 1.40902, 1370.0, 0.2],
['2009.07.1609:15', 1.40697, 1.40969, 1.40659, 1.40903, 1495.0, 0.2],
['2009.07.1609:00', 1.40639, 1.4074, 1.40588, 1.40697, 1618.0, 0.2],
['2009.07.1608:45', 1.40811, 1.40811, 1.40557, 1.40637, 1416.0, 0.2],
['2009.07.1608:30', 1.40738, 1.40823, 1.40696, 1.40813, 951.0, 0.2],
['2009.07.1608:15', 1.40856, 1.40856, 1.4065, 1.40739, 1045.0, 0.2],
